d.cd_ibge, d.cod_familiar_fam, d.cod_est_cadastral_fam, d.nom_localidade_fam, d.nom_tip_logradouro_fam, d.nom_titulo_logradouro_fam, d.nom_logradouro_fam, d.num_logradouro_fam, d.des_complemento_fam, d.des_complemento_adic_fam, d.num_cep_logradouro_fam, d.txt_referencia_local_fam, d.cod_familia_indigena_fam, d.ind_familia_quilombola_fam, d.qtd_pessoas_domic_fam, d.qtd_familias_domic_fam, d.num_ddd_contato_1_fam, d.num_tel_contato_1_fam, d.ic_tipo_contato_1_fam, d.num_tel_contato_2_fam, d.num_ddd_contato_2_fam, d.ic_tipo_contato_2_fam, p.cod_est_cadastral_memb, p.nom_pessoa, p.num_nis_pessoa_atual, p.nom_apelido_pessoa, p.cod_sexo_pessoa, p.dta_nasc_pessoa, p.cod_parentesco_rf_pessoa, p.cod_raca_cor_pessoa, p.nom_completo_mae_pessoa, p.nom_completo_pai_pessoa, p.fx_idade, p.marc_pbf, p.num_cpf_pessoa, p.cod_deficiencia_memb, p.ind_def_cegueira_memb, p.ind_def_baixa_visao_memb, p.ind_def_surdez_profunda_memb, p.ind_def_surdez_leve_memb, p.ind_def_fisica_memb, p.ind_def_mental_memb, p.ind_def_sindrome_down_memb, p.ind_def_transtorno_mental_memb, p.ind_ajuda_nao_memb, p.ind_ajuda_familia_memb, p.ind_ajuda_especializado_memb, p.ind_ajuda_vizinho_memb, p.ind_ajuda_instituicao_memb, p.ind_ajuda_outra_memb, p.marc_sit_rua
2609600,32516592,3,BULTRINS,RUA,,CANAL GLOBO,1,CASA INICIAL,,53020000,,2,2,1,1,81,999999999,L,0,,N,3,Francisca Matheus Vitor,16359737338,,2,26/03/1962,1,4,Debora Beatriz Vanessa,Antonio Luzia Andreia,10,1,23174880505,2,,,,,,,,,,,,,,,0
2609600,54908477,3,CARMO,RUA,,SOL,2,QUADRA X LOTE Y,,53120101, ,2,2,1,1,81,999999999,L,0,,N,3,Andréia Diego Édson,16060591338,,2,14/09/1971,1,2,Antônia Renata Francisco,Anderson Maria Camila,8,1,66124014513,2,,,,,,,,,,,,,,,0
2609600,58353640,3,RIO DOCE,RUA,,SESSENTA,3,BLOCO X CASA Y CONJUNTO HABITACIONAL Z,,53080770, ,2,2,2,1,81,999999999,L,0,,N,3,Jose Angela Lucia,16480928122,,1,07/01/2001,3,1,Cláudia Débora Rita,Antonio Matheus Igor,4,0,54515516183,2,,,,,,,,,,,,,,,0
2609600,58353640,3,RIO DOCE,RUA,,SESSENTA,3,BLOCO X CASA Y CONJUNTO HABITACIONAL Z,BLOCO X CASA Y CONJUNTO HABITACIONAL Z,53080770, ,2,2,2,1,81,999999999,L,0,,N,3,Renata José Aparecida,16061579501,,2,20/03/1982,1,4,Rita Raquel Ângela,Jose Guilherme Antônia,6,0,54732207545,2,,,,,,,,,,,,,,,0
2609600,81831986,3,BONSUCESSO,TRAVESSA,,HONORATO DO ESPIRITO SANTOS,4,CASA X ETAPA Y CONJUNTO Z INFO EXTRA W,,53240551,PROX A COMPESA,2,2,3,1,81,88888888,L,0,,N,3,Rafaela Fabiana Cláudia,17055854510,,2,18/04/1960,1,4,Débora Alessandra Mateus,Luiz Davi Antonio,11,1,21807772306,2,,,,,,,,,,,,,,,0
2609600,81831986,3,BONSUCESSO,TRAVESSA,,HONORATO DO ESPIRITO SANTOS,4,CASA X ETAPA Y CONJUNTO Z INFO EXTRA W,CASA X ETAPA Y CONJUNTO Z INFO EXTRA W,53240551,PROX A COMPESA,2,2,3,1,81,88888888,L,0,,N,3,Antonia Flávio Vanessa,21236367245,,2,16/04/2007,5,2,Rosangela Ânderson João,Vítor Mário Daniel,2,1,2768368474,2,,,,,,,,,,,,,,,0
2609600,81831986,3,BONSUCESSO,TRAVESSA,,HONORATO DO ESPIRITO SANTOS,4,CASA X ETAPA Y CONJUNTO Z INFO EXTRA W,CASA X ETAPA Y CONJUNTO Z INFO EXTRA W,53240551,PROX A COMPESA,2,2,3,1,81,999999999,L,0,,N,3,Débora Antonia Vanessa,23706734644,,2,25/03/2009,5,4,Rita Guilherme Lúcia,Tiago Luis Vitória,2,1,62507110660,2,,,,,,,,,,,,,,,0
2609600,87338300,3,AGUAZINHA,RUA,,DOIS DE FEVEREIRO,5,,CASA X,53270260,NA ENTRADA DA ANTENA DA OI ALTO DA CONQUISTA,2,2,2,1,87,999999999,L,0,,N,3,Felipe Luis Julia,23731225030,,1,09/01/2014,3,4,Aparecida Débora Andreia,Rodrigo Daiane Claudio,2,1,55620876268,2,,,,,,,,,,,,,,,0
2609600,87338300,3,AGUAZINHA,RUA,,DOIS DE FEVEREIRO,5,,,53270260,NA ENTRADA DA ANTENA DA OI ALTO DA CONQUISTA,2,2,2,1,87,999999999,L,0,,N,3,Beatriz Marcia Adriano,20065671044,,2,07/07/1997,1,4,Cristiane Rogerio Julio,José Andréia Gustavo,4,1,32816412024,2,,,,,,,,,,,,,,,0
2609600,87338300,3,AGUAZINHA,RUA,,DOIS DE FEVEREIRO,5,,,53270260,NA ENTRADA DA ANTENA DA OI ALTO DA CONQUISTA,2,2,2,1,87,999999999,L,0,,N,3,Manuel Paulo Raimundo,21374109950,,2,20/10/2020,3,4,Rita Rita Claudia,Ronaldo Anderson Lúcia,0,1,23275864530,2,,,,,,,,,,,,,,,0
2609600,119744279,3,JARDIM ATLANTICO,RUA,,DELLA ROSA,6,,TRAVESSA X,53060105,NA ENTRADA DA ANTENA DA OI ALTO DA CONQUISTA,2,2,5,1,81,88888888,L,0,,D,3,José Rogério Natalia,16317289574,,1,18/03/2002,3,4,Dáiane Cristiane Sebastião,Roberto Sandra Dáiane,4,1,13404070860,2,,,,,,,,,,,,,,,0
2609600,119744279,3,JARDIM ATLANTICO,RUA,,DELLA ROSA,6,,,53060105,NA ENTRADA DA ANTENA DA OI ALTO DA CONQUISTA,2,2,5,1,81,999999999,L,0,,D,3,Suelí Ana Suelí,16386640536,,2,20/06/1976,1,1,Marcia Renata Raquel,Flávio Mario Maria,8,1,80625074246,2,,,,,,,,,,,,,,,0
2609600,119744279,3,JARDIM ATLANTICO,RUA,,DELLA ROSA,6,,,53060105,NA ENTRADA DA ANTENA DA OI ALTO DA CONQUISTA,2,2,5,1,81,999999999,L,0,,D,3,Julia Camila Vinicius,21219791719,,2,06/02/2004,3,4,Isabel Jessica Edson,Manoel Geraldo Aparecida,3,1,75544077592,2,,,,,,,,,,,,,,,0
2609600,127293531,3,JATOBA,TRAVESSA,,ALVARO DE HOLANDA CAVALCANTI,7,,QUADRA X LOTE Y,53250250,NA ENTRADA DA ANTENA DA OI ALTO DA CONQUISTA,2,2,4,1,81,999999999,L,999999999,81,L,3,Amanda Gustavo Gabriel,16387761434,,2,20/04/1998,3,4,Joana Daniele Rogério,Felipe Márcia Leticia,4,1,70115635556,2,,,,,,,,,,,,,,,0
2609600,127293531,3,JATOBA,TRAVESSA,,ALVARO DE HOLANDA CAVALCANTI,7,,,53250250,NA ENTRADA DA ANTENA DA OI ALTO DA CONQUISTA,2,2,4,1,81,0,L,999999999,81,L,3,Sandra Francisca Jaqueline,16563278834,,2,26/04/2000,3,4,Fabiana Daniel Renato,Gabriel Amanda Simone,4,1,24512728210,2,,,,,,,,,,,,,,,0
2609600,127293531,3,JATOBA,TRAVESSA,,ALVARO DE HOLANDA CAVALCANTI,7,,,53250250,NA ENTRADA DA ANTENA DA OI ALTO DA CONQUISTA,2,2,4,1,81,0,L,999999999,81,L,3,Rosângela Márcio Vitória,16563225528,,2,19/11/1978,1,4,Simone Edson Eliane,Júlio Flávio Ronaldo,7,1,58651858531,2,,,,,,,,,,,,,,,0
2609600,127293531,3,JATOBA,TRAVESSA,,ALVARO DE HOLANDA CAVALCANTI,7,,,53250250,NA ENTRADA DA ANTENA DA OI ALTO DA CONQUISTA,2,2,4,1,81,0,L,999999999,81,L,3,Júlia Daniel Vítor,16493736839,,2,02/02/2004,3,4,Marlene Luíz Rosângela,Vítor Manuel Patrícia,3,1,28050515567,2,,,,,,,,,,,,,,,0
2609600,139276807,3,RIO DOCE,RUA,,ROSA DE OLIVEIRA,8,,BLOCO X CASA Y CONJUNTO HABITACIONAL Z,53080670,NA ENTRADA DA ANTENA DA OI ALTO DA CONQUISTA,2,2,2,1,81,0,O,0,,N,3,João Raquel Daniele,16387831114,,1,29/10/1998,3,4,Daniele João Claudia,Edson Josefa Joana,4,1,12518065709,2,,,,,,,,,,,,,,,0
2609600,139276807,3,RIO DOCE,RUA,,ROSA DE OLIVEIRA,8,,,53080670,NA ENTRADA DA ANTENA DA OI ALTO DA CONQUISTA,2,2,2,1,81,999999999,O,0,,N,3,Amanda Aparecida Cristiane,16214124106,,2,24/09/1971,1,4,Fernanda Alex Flávio,Luís Mario Flavio,8,1,78277607750,2,,,,,,,,,,,,,,,0
2609600,143190806,3,TABAJARA,AVENIDA,,FLORES DO CAMPO,9,,CASA X ETAPA Y CONJUNTO Z INFO EXTRA W,53060705,NA ENTRADA DA ANTENA DA OI ALTO DA CONQUISTA,2,2,3,1,81,999999999,L,0,,N,3,André Alex Marcelo,16689280765,,1,09/06/2008,3,1,Sonia Suelí Luciano,Ronaldo Marcia Vítor,2,1,15857055008,2,,,,,,,,,,,,,,,0
2609600,143190806,3,TABAJARA,AVENIDA,,FLORES DO CAMPO,9,,,53060705,NA ENTRADA DA ANTENA DA OI ALTO DA CONQUISTA,2,2,3,1,81,999999999,L,0,,N,3,Julia Ronaldo Matheus,16214289911,,2,13/10/1984,1,4,Luciana Sebastião Antônio,Tiago Francisco Mateus,6,1,72452813001,2,,,,,,,,,,,,,,,0
2609600,143190806,3,TABAJARA,AVENIDA,,FLORES DO CAMPO,9,,,53060705,NA ENTRADA DA ANTENA DA OI ALTO DA CONQUISTA,2,2,3,1,81,999999999,L,0,,N,3,Camila Fernanda Luis,23691658837,,2,13/07/2012,3,4,Luana Raimundo Luzía,Flávio Francisca Raquel,2,1,81218204133,2,,,,,,,,,,,,,,,0
